State_Name,State,Lat,Long,AllDeaths,AllDeathsPer100k,CancerDeaths,CancerDeathsPer100k,HeartDiseaseDeaths,HeartDiseaseDeathsPer100k,AccidentsDeaths,AccidentsDeathsPer100k,MotorVehicleDeaths,MotorVehicleDeathsPer100k,PoisoningDeaths,PoisoninDeathsPer100k,SuicideDeaths,SuicideDeathsPer100k,HomicideDeaths,HomicideDeathsPer100k,Covid19Positive,Covid19Negative,Covid19Pending,Covid19Hospitalized,Covid19Death,Pop,CovidByPop
Alabama,AL,32.3182,-86.9023,53238,9177,10410,170,13110,2232,2703,538,1034,209,787,17,836,166,602,129,587,4184,0,0,3,4908621,11
Alaska,AK,61.3707,-152.4044,4411,7088,926,1392,814,135,436,637,101,142,154,211,200,27,78,106,69,2319,13,3,1,734002,9
Arizona,AZ,33.7298,-111.4312,57758,6785,12008,1358,12398,1419,4184,562,1017,142,1405,207,1327,182,441,66,736,7455,30,0,13,7378494,9
Arkansas,AR,34.9697,-92.3731,32588,9001,6517,1736,8270,2238,1625,518,579,189,376,131,631,208,278,98,381,1545,0,48,3,3038999,12
California,CA,36.1162,-119.6816,268189,6187,59516,1367,62797,1429,13840,331,4194,103,4652,112,4312,105,2022,51,3879,17380,57400,746,78,39937489,9
Colorado,CO,39.0598,-105.3111,38063,6634,7829,1309,7060,1227,3037,536,678,118,896,156,1181,203,261,46,1430,8692,0,184,24,5845526,24
Connecticut,CT,41.5978,-72.7554,31312,6512,6608,1395,7138,1416,2078,532,293,78,1048,301,405,105,109,32,1291,7109,0,173,27,3563077,36
Delaware,DE,39.3185,-75.5071,9178,7496,2085,1604,1990,1584,608,619,127,129,333,364,112,116,63,69,163,36,0,15,2,982895,16
District of Columbia,DC,38.8974,-77.0268,4965,7254,1031,1528,1284,1898,427,61,33,47,291,413,47,66,117,156,267,1897,2,0,3,720687,37
Florida,FL,27.7663,-81.6868,203636,6721,45131,1459,46440,1458,13059,561,3229,148,4809,239,3227,14,1269,64,2765,28186,1517,456,34,21992985,12
Georgia,GA,33.0406,-83.6431,83098,7937,17135,1549,18389,1758,4712,452,1556,146,1466,141,1451,136,810,79,2001,7864,0,566,64,10736059,18
Hawaii,HI,21.0943,-157.4983,11390,5849,2456,1286,2575,1298,585,357,106,72,166,114,227,152,35,25,106,4357,3,7,0,1412687,7
Idaho,ID,44.2405,-114.4788,14011,7418,3020,1532,3084,1624,876,498,271,155,199,121,392,232,50,3,189,2668,0,0,3,1826156,10
Illinois,IL,40.3495,-88.9861,109721,7242,24150,1579,25394,1633,6019,444,1232,93,2629,205,1474,112,1120,9,3060,18516,0,0,34,12659682,24
Indiana,IN,39.8494,-86.2583,65597,8486,13462,170,14445,1832,3978,587,917,135,1761,28,1092,163,456,72,981,5955,0,0,24,6745354,14
Iowa,IA,42.0115,-93.2105,30530,737,6449,158,7180,1674,1536,427,396,12,307,104,479,15,104,34,235,3740,0,50,3,3179849,7
Kansas,KS,38.5266,-96.7265,27063,7712,5494,1572,5723,1579,1567,494,461,156,298,107,553,191,185,65,202,3229,0,27,4,2910357,6
Kentucky,KY,37.6681,-84.6701,48212,9299,10145,1857,10343,1959,3264,729,831,183,1508,359,770,169,310,73,248,3768,0,0,6,4499692,5
Louisiana,LA,31.1695,-91.8678,45804,8811,9513,1749,11260,2144,2780,588,825,176,1024,226,720,152,653,144,2746,18613,0,773,119,4645184,59
Maine,ME,44.6939,-69.3819,14676,7716,3391,1708,2844,1435,990,68,190,137,395,326,274,189,19,0,168,3394,0,0,1,1345790,12
Maryland,MD,39.0639,-76.8021,49926,7181,10796,1515,11653,1645,2408,369,574,92,670,107,630,98,587,102,774,94,0,173,5,6083116,12
Massachusetts,MA,42.2302,-71.5301,58803,6771,12934,1493,12140,1346,3821,515,416,57,2109,31,682,95,171,26,3240,26131,0,219,35,6976597,46
Michigan,MI,43.3266,-84.5361,97602,7835,20671,1613,25187,1961,5623,53,1057,102,2302,238,1457,141,588,63,3657,6550,0,0,92,10045029,36
Minnesota,MN,45.6945,-93.9002,44371,6564,9896,1468,8230,1191,2788,446,452,78,718,131,783,138,122,22,398,13605,0,51,4,5700671,6
Mississippi,MS,32.7416,-89.6787,32280,9513,6526,1831,7944,2316,1738,563,771,257,321,111,445,15,360,127,579,2560,0,185,8,2989260,19
Missouri,MO,38.4561,-92.2884,61876,8201,12971,1672,14820,1911,3776,588,999,16,1273,219,1151,185,655,113,669,369,0,0,8,6169270,10
Montana,MT,46.9219,-110.4544,10200,7575,2145,1526,2164,155,579,502,179,17,111,109,311,289,42,43,108,2590,0,7,0,1086759,9
Nebraska,NE,41.1254,-98.2681,16878,726,3502,1526,3581,1493,811,385,260,133,148,79,275,147,50,27,85,1761,0,0,0,1952570,4
Nevada,NV,38.3135,-117.0554,24657,7655,5283,1553,6417,1993,1496,478,353,112,585,187,627,203,221,76,535,6161,0,0,10,3139658,17
New Hampshire,NH,43.4525,-71.5639,12504,7172,2760,1535,2721,1497,907,629,108,73,437,349,265,189,17,0,158,3395,592,25,1,1371246,11
New Jersey,NJ,40.2989,-74.521,74846,6675,16264,1446,18840,1623,4482,473,647,67,2605,293,795,83,352,41,8825,16547,0,0,108,8936574,98
New Mexico,NM,34.8405,-106.2485,18673,7547,3620,1383,3896,1514,1460,682,399,193,487,249,491,233,173,85,136,8377,0,0,1,2096640,6
New York,NY,42.1657,-74.9481,155358,6236,34956,1412,44092,1712,7687,355,1146,55,3697,183,1696,81,577,3,44635,101118,0,8526,519,19440469,229
North Carolina,NC,35.6301,-79.8064,93157,7856,19474,1571,18808,1565,5985,563,1520,144,2253,227,1521,143,679,69,763,14373,0,77,3,10611862,7
North Dakota,ND,47.5289,-99.78399999999999,6415,6927,1280,1426,1326,1378,339,413,118,154,65,89,154,201,15,0,65,2427,0,13,0,761723,8
