State_Name,State,Lat,Long,AllDeaths,AllDeathsPer100k,CancerDeaths,CancerDeathsPer100k,HeartDiseaseDeaths,HeartDiseaseDeathsPer100k,AccidentsDeaths,AccidentsDeathsPer100k,MotorVehicleDeaths,MotorVehicleDeathsPer100k,PoisoningDeaths,PoisoninDeathsPer100k,SuicideDeaths,SuicideDeathsPer100k,HomicideDeaths,HomicideDeathsPer100k,state,Covid19Positive,Covid19Negative,Covid19Pending,Covid19Hospitalized,Covid19Death,data_value,confirm_change,Pop,CovidByPop,RiskValue
Pennsylvania,PA,40.5908,-77.2098,135656,7773,28387,161,32312,176,9527,702,1262,95,5205,43,2030,15,791,66,PA,2218,21016,0,551,22,18.9,21.3219616204691,12820878,17,5.809670338245612
Puerto Rico,PR,18.2208,-66.5901,30777,658,5210,1091,5557,1136,966,233,317,85,71,21,247,65,684,22,PR,79,519,334,0,3,35.0,26.582278481012697,3032165,2,2.0200088055894088
Rhode Island,RI,41.6809,-71.5118,10157,7134,2154,1542,2339,1557,718,60,105,94,318,304,129,118,19,0,RI,165,1366,138,23,0,17.3,17.733990147783302,1056161,15,3.9941570521955967
South Carolina,SC,33.8569,-80.945,49441,828,10356,1627,10418,172,3147,602,1059,208,980,20,838,163,444,93,SC,456,2307,0,109,9,18.9,21.7712177121771,5210095,8,3.0011139069221566
South Dakota,SD,44.2998,-99.4388,7996,7366,1715,1569,1710,1501,537,561,165,189,70,82,191,225,34,42,SD,58,2387,20,0,1,14.6,17.2413793103448,903027,6,1.3473203643597198
Tennessee,TN,35.7478,-86.6923,70096,8971,14302,1734,16019,2022,4435,63,1088,157,1691,254,1166,168,557,88,TN,1203,14888,0,103,6,22.7,14.6433990895296,6897576,17,4.831206966485802
Texas,TX,31.0545,-97.5635,198106,7357,40668,1465,45346,1692,10763,388,3892,138,2796,98,3778,134,1653,58,TX,1731,21935,0,0,23,19.1,26.742385131646902,29472295,5,2.499973312396787
Utah,UT,40.15,-111.8624,18035,7001,3161,1203,3749,1502,1238,442,293,99,508,174,663,227,79,26,UT,480,8764,0,0,2,14.5,27.542372881355902,3282115,14,4.86715921629389
Vermont,VT,44.0459,-72.7107,6007,7149,1434,1645,1332,1525,394,569,81,123,119,21,112,183,15,0,VT,184,2077,0,18,10,13.8,14.6739130434783,628061,29,4.943787307283861
Virginia,VA,37.7693,-78.17,68579,7194,15064,1526,14861,1545,3922,44,896,101,1427,169,1179,134,455,54,VA,604,6733,0,83,14,17.3,21.911037891268503,8626207,7,2.211794990287957
Washington,WA,47.4009,-121.4905,56995,6886,12664,1484,11582,1388,3455,44,663,88,1073,14,1297,169,266,36,WA,3207,43173,0,0,147,15.7,15.9045153868277,7797095,41,8.558644376262741
West Virginia,WV,38.4912,-80.9545,23276,9571,4654,1794,4849,192,1892,1003,337,182,961,57,393,211,112,65,WV,76,1779,43,1,0,26.3,26.3157894736842,1778070,4,2.465219779498744
Wisconsin,WI,44.2685,-89.6165,52681,722,11318,1532,11860,1576,3746,583,657,109,1099,198,926,154,202,37,WI,842,13140,0,0,13,15.7,13.930885529157699,5851754,14,2.6225462793455785
Wyoming,WY,42.756,-107.3025,4768,7145,948,1361,1001,1489,348,569,110,191,71,13,157,269,19,0,WY,70,1211,0,11,0,16.0,17.1428571428571,567025,12,2.8217450729685574
